px_no,identifier,group,direction,valence,event,code,internal,external,proportion
1001,Good,ANX,future,neg,e1,3,17,2,0.8947368421052632
1001,Good,ANX,future,neg,e2,2,NA,NA,NA
1001,Good,ANX,future,neutral,e1,3,14,3,0.8235294117647058
1001,Good,ANX,future,neutral,e2,2,NA,NA,NA
1001,Good,ANX,future,pos,e1,3,20,0,1
1001,Good,ANX,future,pos,e2,3,17,0,1
1001,Good,ANX,past,neg,e1,3,14,0,1
1001,Good,ANX,past,neg,e2,3,32,1,0.9696969696969697
1001,Good,ANX,past,neutral,e1,3,7,5,0.5833333333333334
1001,Good,ANX,past,neutral,e2,2,NA,NA,NA
1001,Good,ANX,past,pos,e1,3,23,0,1
1001,Good,ANX,past,pos,e2,3,15,0,1
1002,Good,CON,future,neg,e1,3,15,2,0.8823529411764706
1002,Good,CON,future,neg,e2,3,11,0,1
1002,Good,CON,future,neutral,e1,3,19,0,1
1002,Good,CON,future,neutral,e2,3,15,0,1
1002,Good,CON,future,pos,e1,3,15,1,0.9375
1002,Good,CON,future,pos,e2,3,19,0,1
1002,Good,CON,past,neg,e1,3,12,0,1
1002,Good,CON,past,neg,e2,3,21,0,1
1002,Good,CON,past,neutral,e1,3,11,2,0.8461538461538461
1002,Good,CON,past,neutral,e2,3,21,0,1
1002,Good,CON,past,pos,e1,2,NA,NA,NA
1002,Good,CON,past,pos,e2,3,19,0,1
1003,Good,ANX,future,neg,e1,3,22,0,1
1003,Good,ANX,future,neg,e2,3,10,3,0.7692307692307693
1003,Good,ANX,future,neutral,e1,3,16,0,1
1003,Good,ANX,future,neutral,e2,3,19,0,1
1003,Good,ANX,future,pos,e1,3,29,0,1
1003,Good,ANX,future,pos,e2,3,19,0,1
1003,Good,ANX,past,neg,e1,3,14,5,0.7368421052631579
1003,Good,ANX,past,neg,e2,3,14,0,1
1003,Good,ANX,past,neutral,e1,3,20,0,1
1003,Good,ANX,past,neutral,e2,3,12,4,0.75
1003,Good,ANX,past,pos,e1,3,13,1,0.9285714285714286
1003,Good,ANX,past,pos,e2,3,21,0,1
1004,Good,CON,future,neg,e1,3,20,0,1
1004,Good,CON,future,neg,e2,3,24,1,0.96
1004,Good,CON,future,neutral,e1,3,15,0,1
